DATE_KEY,YEAR,QUARTER,MONTH,MONTH_NAME,WEEK,DAY_OF_WEEK,IS_WEEKEND
4/22/2021,2021,2,4,April,16,Thursday,FALSE
4/23/2021,2021,2,4,April,16,Friday,FALSE
4/24/2021,2021,2,4,April,16,Saturday,TRUE
4/25/2021,2021,2,4,April,16,Sunday,TRUE
4/26/2021,2021,2,4,April,17,Monday,FALSE
4/27/2021,2021,2,4,April,17,Tuesday,FALSE
4/28/2021,2021,2,4,April,17,Wednesday,FALSE
4/29/2021,2021,2,4,April,17,Thursday,FALSE
4/30/2021,2021,2,4,April,17,Friday,FALSE
5/1/2021,2021,2,5,May,17,Saturday,TRUE
5/2/2021,2021,2,5,May,17,Sunday,TRUE
5/3/2021,2021,2,5,May,18,Monday,FALSE
5/4/2021,2021,2,5,May,18,Tuesday,FALSE
5/5/2021,2021,2,5,May,18,Wednesday,FALSE
